index,fname,label,real_int,real_str
2386.0,2386.png,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]","3, 0, 7, 5","Dress, T-shirt/top, Sneaker, Sandal"
2387.0,2387.png,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","2, 1, 2, 1","Pullover, Trouser, Pullover, Trouser"
2388.0,2388.png,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]","8, 9, 0, 7","Bag, Ankle boot, T-shirt/top, Sneaker"
2389.0,2389.png,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]","4, 1, 3, 2","Coat, Trouser, Dress, Pullover"
2390.0,2390.png,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0]","7, 4, 7, 2","Sneaker, Coat, Sneaker, Pullover"
2391.0,2391.png,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0]","0, 4, 3, 2","T-shirt/top, Coat, Dress, Pullover"
2392.0,2392.png,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","7, 7, 3, 7","Sneaker, Sneaker, Dress, Sneaker"
2393.0,2393.png,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 1]","1, 2, 9, 8","Trouser, Pullover, Ankle boot, Bag"
2394.0,2394.png,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]","8, 3, 3, 9","Bag, Dress, Dress, Ankle boot"
2395.0,2395.png,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]","7, 3, 7, 6","Sneaker, Dress, Sneaker, Shirt"
2396.0,2396.png,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","2, 1, 4, 4","Pullover, Trouser, Coat, Coat"
2397.0,2397.png,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]","4, 5, 5, 3","Coat, Sandal, Sandal, Dress"
2398.0,2398.png,"[0, 1, 0, 1, 0, 1, 0, 0, 1, 0]","1, 8, 3, 5","Trouser, Bag, Dress, Sandal"
2399.0,2399.png,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]","2, 4, 2, 6","Pullover, Coat, Pullover, Shirt"
2400.0,2400.png,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0]","7, 0, 8, 3","Sneaker, T-shirt/top, Bag, Dress"
2401.0,2401.png,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 1]","2, 1, 9, 4","Pullover, Trouser, Ankle boot, Coat"
2402.0,2402.png,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1]","6, 2, 6, 9","Shirt, Pullover, Shirt, Ankle boot"
2403.0,2403.png,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0]","5, 5, 0, 4","Sandal, Sandal, T-shirt/top, Coat"
2404.0,2404.png,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]","0, 6, 9, 7","T-shirt/top, Shirt, Ankle boot, Sneaker"
2405.0,2405.png,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0]","1, 5, 2, 3","Trouser, Sandal, Pullover, Dress"
2406.0,2406.png,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","6, 0, 5, 6","Shirt, T-shirt/top, Sandal, Shirt"
2407.0,2407.png,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0]","1, 6, 0, 3","Trouser, Shirt, T-shirt/top, Dress"
2408.0,2408.png,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","0, 9, 0, 0","T-shirt/top, Ankle boot, T-shirt/top, T-shirt/top"
2409.0,2409.png,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0]","2, 5, 3, 2","Pullover, Sandal, Dress, Pullover"
2410.0,2410.png,"[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]","7, 0, 3, 6","Sneaker, T-shirt/top, Dress, Shirt"
2411.0,2411.png,"[0, 1, 0, 1, 1, 0, 0, 0, 1, 0]","8, 3, 4, 1","Bag, Dress, Coat, Trouser"
2412.0,2412.png,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","0, 2, 2, 4","T-shirt/top, Pullover, Pullover, Coat"
2413.0,2413.png,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1]","4, 9, 6, 7","Coat, Ankle boot, Shirt, Sneaker"
2414.0,2414.png,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","5, 7, 8, 8","Sandal, Sneaker, Bag, Bag"
2415.0,2415.png,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0]","2, 8, 4, 4","Pullover, Bag, Coat, Coat"
2416.0,2416.png,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]","0, 8, 8, 3","T-shirt/top, Bag, Bag, Dress"
2417.0,2417.png,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 1]","0, 5, 9, 4","T-shirt/top, Sandal, Ankle boot, Coat"
2418.0,2418.png,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]","8, 3, 9, 1","Bag, Dress, Ankle boot, Trouser"
2419.0,2419.png,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]","0, 9, 1, 1","T-shirt/top, Ankle boot, Trouser, Trouser"
2420.0,2420.png,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1]","8, 9, 3, 4","Bag, Ankle boot, Dress, Coat"
2421.0,2421.png,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]","3, 8, 3, 7","Dress, Bag, Dress, Sneaker"
2422.0,2422.png,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","5, 7, 4, 6","Sandal, Sneaker, Coat, Shirt"
2423.0,2423.png,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0]","6, 4, 8, 1","Shirt, Coat, Bag, Trouser"
2424.0,2424.png,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]","9, 0, 5, 3","Ankle boot, T-shirt/top, Sandal, Dress"
2425.0,2425.png,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]","9, 2, 5, 1","Ankle boot, Pullover, Sandal, Trouser"
2426.0,2426.png,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]","4, 3, 0, 3","Coat, Dress, T-shirt/top, Dress"
2427.0,2427.png,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]","5, 1, 5, 1","Sandal, Trouser, Sandal, Trouser"
2428.0,2428.png,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]","4, 9, 4, 8","Coat, Ankle boot, Coat, Bag"
2429.0,2429.png,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 0]","8, 0, 1, 2","Bag, T-shirt/top, Trouser, Pullover"
2430.0,2430.png,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 1]","0, 4, 3, 9","T-shirt/top, Coat, Dress, Ankle boot"
2431.0,2431.png,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","7, 5, 6, 8","Sneaker, Sandal, Shirt, Bag"
2432.0,2432.png,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","8, 0, 7, 0","Bag, T-shirt/top, Sneaker, T-shirt/top"
2433.0,2433.png,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1]","5, 1, 9, 7","Sandal, Trouser, Ankle boot, Sneaker"
2434.0,2434.png,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","7, 6, 8, 6","Sneaker, Shirt, Bag, Shirt"
2435.0,2435.png,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]","8, 9, 1, 9","Bag, Ankle boot, Trouser, Ankle boot"
2436.0,2436.png,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","8, 7, 7, 0","Bag, Sneaker, Sneaker, T-shirt/top"
2437.0,2437.png,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","3, 0, 7, 3","Dress, T-shirt/top, Sneaker, Dress"
2438.0,2438.png,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","5, 7, 9, 3","Sandal, Sneaker, Ankle boot, Dress"
2439.0,2439.png,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]","0, 0, 5, 3","T-shirt/top, T-shirt/top, Sandal, Dress"
2440.0,2440.png,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","9, 9, 9, 6","Ankle boot, Ankle boot, Ankle boot, Shirt"
2441.0,2441.png,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","3, 2, 1, 2","Dress, Pullover, Trouser, Pullover"
2442.0,2442.png,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1]","6, 9, 3, 0","Shirt, Ankle boot, Dress, T-shirt/top"
2443.0,2443.png,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 0]","8, 0, 6, 3","Bag, T-shirt/top, Shirt, Dress"
2444.0,2444.png,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0]","2, 8, 2, 5","Pullover, Bag, Pullover, Sandal"
2445.0,2445.png,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]","8, 1, 6, 3","Bag, Trouser, Shirt, Dress"
2446.0,2446.png,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]","3, 6, 1, 6","Dress, Shirt, Trouser, Shirt"
2447.0,2447.png,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 1]","1, 3, 9, 2","Trouser, Dress, Ankle boot, Pullover"
2448.0,2448.png,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0]","5, 1, 3, 0","Sandal, Trouser, Dress, T-shirt/top"
2449.0,2449.png,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1]","9, 3, 9, 5","Ankle boot, Dress, Ankle boot, Sandal"
2450.0,2450.png,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]","7, 4, 5, 0","Sneaker, Coat, Sandal, T-shirt/top"
2451.0,2451.png,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]","3, 1, 2, 6","Dress, Trouser, Pullover, Shirt"
2452.0,2452.png,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 1]","3, 9, 5, 1","Dress, Ankle boot, Sandal, Trouser"
2453.0,2453.png,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]","1, 9, 9, 2","Trouser, Ankle boot, Ankle boot, Pullover"
2454.0,2454.png,"[0, 0, 1, 0, 0, 1, 1, 0, 1, 0]","2, 6, 5, 8","Pullover, Shirt, Sandal, Bag"
2455.0,2455.png,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]","4, 7, 8, 4","Coat, Sneaker, Bag, Coat"
2456.0,2456.png,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0]","2, 2, 0, 6","Pullover, Pullover, T-shirt/top, Shirt"
2457.0,2457.png,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0]","4, 0, 0, 7","Coat, T-shirt/top, T-shirt/top, Sneaker"
2458.0,2458.png,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0]","7, 2, 0, 4","Sneaker, Pullover, T-shirt/top, Coat"
2459.0,2459.png,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","2, 1, 2, 0","Pullover, Trouser, Pullover, T-shirt/top"
2460.0,2460.png,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]","1, 1, 7, 9","Trouser, Trouser, Sneaker, Ankle boot"
2461.0,2461.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]","9, 9, 4, 9","Ankle boot, Ankle boot, Coat, Ankle boot"
2462.0,2462.png,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]","4, 3, 2, 4","Coat, Dress, Pullover, Coat"
2463.0,2463.png,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]","6, 0, 8, 0","Shirt, T-shirt/top, Bag, T-shirt/top"
2464.0,2464.png,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]","7, 8, 6, 0","Sneaker, Bag, Shirt, T-shirt/top"
2465.0,2465.png,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]","9, 9, 5, 1","Ankle boot, Ankle boot, Sandal, Trouser"
2466.0,2466.png,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]","2, 0, 5, 0","Pullover, T-shirt/top, Sandal, T-shirt/top"
2467.0,2467.png,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]","7, 4, 8, 8","Sneaker, Coat, Bag, Bag"
2468.0,2468.png,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0]","5, 0, 2, 3","Sandal, T-shirt/top, Pullover, Dress"
2469.0,2469.png,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0]","5, 4, 5, 0","Sandal, Coat, Sandal, T-shirt/top"
2470.0,2470.png,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]","9, 1, 2, 9","Ankle boot, Trouser, Pullover, Ankle boot"
2471.0,2471.png,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]","1, 6, 3, 3","Trouser, Shirt, Dress, Dress"
2472.0,2472.png,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]","7, 5, 5, 3","Sneaker, Sandal, Sandal, Dress"
2473.0,2473.png,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]","7, 0, 1, 4","Sneaker, T-shirt/top, Trouser, Coat"
2474.0,2474.png,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]","9, 0, 1, 8","Ankle boot, T-shirt/top, Trouser, Bag"
2475.0,2475.png,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]","8, 6, 4, 5","Bag, Shirt, Coat, Sandal"
2476.0,2476.png,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0]","5, 2, 3, 1","Sandal, Pullover, Dress, Trouser"
2477.0,2477.png,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 0]","6, 5, 1, 3","Shirt, Sandal, Trouser, Dress"
2478.0,2478.png,"[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]","0, 7, 3, 6","T-shirt/top, Sneaker, Dress, Shirt"
2479.0,2479.png,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]","9, 1, 6, 9","Ankle boot, Trouser, Shirt, Ankle boot"
2480.0,2480.png,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]","6, 6, 3, 1","Shirt, Shirt, Dress, Trouser"
2481.0,2481.png,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]","1, 6, 9, 4","Trouser, Shirt, Ankle boot, Coat"
2482.0,2482.png,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1]","4, 5, 2, 9","Coat, Sandal, Pullover, Ankle boot"
2483.0,2483.png,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]","8, 5, 3, 5","Bag, Sandal, Dress, Sandal"
2484.0,2484.png,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]","1, 2, 5, 9","Trouser, Pullover, Sandal, Ankle boot"
2485.0,2485.png,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","8, 8, 7, 7","Bag, Bag, Sneaker, Sneaker"
2486.0,2486.png,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1]","9, 2, 5, 4","Ankle boot, Pullover, Sandal, Coat"
2487.0,2487.png,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]","7, 8, 4, 8","Sneaker, Bag, Coat, Bag"
2488.0,2488.png,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]","6, 3, 2, 1","Shirt, Dress, Pullover, Trouser"
2489.0,2489.png,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 1]","9, 2, 3, 9","Ankle boot, Pullover, Dress, Ankle boot"
2490.0,2490.png,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","1, 6, 6, 6","Trouser, Shirt, Shirt, Shirt"
2491.0,2491.png,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1]","9, 2, 4, 5","Ankle boot, Pullover, Coat, Sandal"
2492.0,2492.png,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","6, 6, 1, 5","Shirt, Shirt, Trouser, Sandal"
2493.0,2493.png,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]","4, 8, 2, 6","Coat, Bag, Pullover, Shirt"
2494.0,2494.png,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","1, 2, 0, 1","Trouser, Pullover, T-shirt/top, Trouser"
2495.0,2495.png,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]","5, 5, 4, 3","Sandal, Sandal, Coat, Dress"
2496.0,2496.png,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 1]","0, 3, 9, 4","T-shirt/top, Dress, Ankle boot, Coat"
2497.0,2497.png,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","5, 4, 8, 4","Sandal, Coat, Bag, Coat"
2498.0,2498.png,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]","4, 7, 5, 7","Coat, Sneaker, Sandal, Sneaker"
2499.0,2499.png,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]","9, 8, 0, 0","Ankle boot, Bag, T-shirt/top, T-shirt/top"
2500.0,2500.png,"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]","5, 4, 1, 5","Sandal, Coat, Trouser, Sandal"
2501.0,2501.png,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]","9, 0, 0, 4","Ankle boot, T-shirt/top, T-shirt/top, Coat"
2502.0,2502.png,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 0]","3, 5, 6, 1","Dress, Sandal, Shirt, Trouser"
2503.0,2503.png,"[0, 1, 0, 1, 0, 1, 0, 0, 1, 0]","5, 3, 1, 8","Sandal, Dress, Trouser, Bag"
2504.0,2504.png,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]","3, 7, 5, 3","Dress, Sneaker, Sandal, Dress"
2505.0,2505.png,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]","7, 9, 0, 7","Sneaker, Ankle boot, T-shirt/top, Sneaker"
2506.0,2506.png,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]","1, 6, 2, 7","Trouser, Shirt, Pullover, Sneaker"
2507.0,2507.png,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","7, 6, 6, 8","Sneaker, Shirt, Shirt, Bag"
2508.0,2508.png,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0]","4, 7, 7, 6","Coat, Sneaker, Sneaker, Shirt"
2509.0,2509.png,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","2, 7, 7, 6","Pullover, Sneaker, Sneaker, Shirt"
2510.0,2510.png,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]","8, 8, 2, 1","Bag, Bag, Pullover, Trouser"
2511.0,2511.png,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]","7, 1, 1, 2","Sneaker, Trouser, Trouser, Pullover"
2512.0,2512.png,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","6, 1, 1, 5","Shirt, Trouser, Trouser, Sandal"
2513.0,2513.png,"[0, 1, 0, 0, 1, 1, 1, 0, 0, 0]","6, 5, 1, 4","Shirt, Sandal, Trouser, Coat"
2514.0,2514.png,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]","6, 3, 2, 3","Shirt, Dress, Pullover, Dress"
2515.0,2515.png,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0]","7, 1, 8, 7","Sneaker, Trouser, Bag, Sneaker"
2516.0,2516.png,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1]","9, 6, 3, 3","Ankle boot, Shirt, Dress, Dress"
2517.0,2517.png,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]","2, 3, 1, 4","Pullover, Dress, Trouser, Coat"
2518.0,2518.png,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","8, 5, 4, 4","Bag, Sandal, Coat, Coat"
2519.0,2519.png,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]","3, 4, 6, 5","Dress, Coat, Shirt, Sandal"
2520.0,2520.png,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0]","1, 6, 4, 1","Trouser, Shirt, Coat, Trouser"
2521.0,2521.png,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 1]","2, 3, 9, 1","Pullover, Dress, Ankle boot, Trouser"
2522.0,2522.png,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1]","0, 3, 9, 2","T-shirt/top, Dress, Ankle boot, Pullover"
2523.0,2523.png,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]","8, 4, 3, 8","Bag, Coat, Dress, Bag"
2524.0,2524.png,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","6, 8, 9, 5","Shirt, Bag, Ankle boot, Sandal"
2525.0,2525.png,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 1]","0, 1, 9, 4","T-shirt/top, Trouser, Ankle boot, Coat"
2526.0,2526.png,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]","9, 3, 5, 0","Ankle boot, Dress, Sandal, T-shirt/top"
2527.0,2527.png,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0]","5, 1, 2, 1","Sandal, Trouser, Pullover, Trouser"
2528.0,2528.png,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","2, 0, 4, 4","Pullover, T-shirt/top, Coat, Coat"
2529.0,2529.png,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]","5, 3, 6, 5","Sandal, Dress, Shirt, Sandal"
2530.0,2530.png,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0]","0, 4, 3, 2","T-shirt/top, Coat, Dress, Pullover"
2531.0,2531.png,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0]","2, 8, 2, 4","Pullover, Bag, Pullover, Coat"
2532.0,2532.png,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]","6, 6, 5, 2","Shirt, Shirt, Sandal, Pullover"
2533.0,2533.png,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0]","5, 0, 7, 2","Sandal, T-shirt/top, Sneaker, Pullover"
2534.0,2534.png,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 0]","0, 6, 8, 3","T-shirt/top, Shirt, Bag, Dress"
2535.0,2535.png,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]","3, 4, 4, 2","Dress, Coat, Coat, Pullover"
2536.0,2536.png,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]","1, 9, 8, 8","Trouser, Ankle boot, Bag, Bag"
2537.0,2537.png,"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0]","6, 5, 3, 7","Shirt, Sandal, Dress, Sneaker"
2538.0,2538.png,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1]","9, 9, 2, 7","Ankle boot, Ankle boot, Pullover, Sneaker"
2539.0,2539.png,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]","7, 9, 9, 4","Sneaker, Ankle boot, Ankle boot, Coat"
2540.0,2540.png,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","5, 2, 7, 5","Sandal, Pullover, Sneaker, Sandal"
2541.0,2541.png,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","5, 5, 7, 2","Sandal, Sandal, Sneaker, Pullover"
2542.0,2542.png,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","4, 0, 2, 0","Coat, T-shirt/top, Pullover, T-shirt/top"
2543.0,2543.png,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]","7, 4, 8, 0","Sneaker, Coat, Bag, T-shirt/top"
2544.0,2544.png,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1]","9, 8, 8, 5","Ankle boot, Bag, Bag, Sandal"
2545.0,2545.png,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 1]","2, 8, 1, 9","Pullover, Bag, Trouser, Ankle boot"
2546.0,2546.png,"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]","1, 4, 6, 0","Trouser, Coat, Shirt, T-shirt/top"
2547.0,2547.png,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","5, 4, 8, 4","Sandal, Coat, Bag, Coat"
2548.0,2548.png,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]","9, 3, 1, 3","Ankle boot, Dress, Trouser, Dress"
2549.0,2549.png,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","5, 5, 8, 5","Sandal, Sandal, Bag, Sandal"
2550.0,2550.png,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 0]","0, 2, 1, 6","T-shirt/top, Pullover, Trouser, Shirt"
2551.0,2551.png,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]","3, 8, 0, 0","Dress, Bag, T-shirt/top, T-shirt/top"
2552.0,2552.png,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0]","3, 4, 6, 7","Dress, Coat, Shirt, Sneaker"
2553.0,2553.png,"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]","6, 0, 1, 4","Shirt, T-shirt/top, Trouser, Coat"
2554.0,2554.png,"[0, 0, 1, 1, 1, 0, 0, 1, 0, 0]","7, 2, 4, 3","Sneaker, Pullover, Coat, Dress"
2555.0,2555.png,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]","9, 7, 7, 0","Ankle boot, Sneaker, Sneaker, T-shirt/top"
2556.0,2556.png,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]","8, 9, 4, 8","Bag, Ankle boot, Coat, Bag"
2557.0,2557.png,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]","7, 4, 8, 8","Sneaker, Coat, Bag, Bag"
2558.0,2558.png,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","4, 5, 4, 8","Coat, Sandal, Coat, Bag"
2559.0,2559.png,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","0, 5, 6, 6","T-shirt/top, Sandal, Shirt, Shirt"
2560.0,2560.png,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]","3, 0, 3, 6","Dress, T-shirt/top, Dress, Shirt"
2561.0,2561.png,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","8, 8, 9, 8","Bag, Bag, Ankle boot, Bag"
2562.0,2562.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]","9, 4, 4, 4","Ankle boot, Coat, Coat, Coat"
2563.0,2563.png,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0]","2, 1, 4, 8","Pullover, Trouser, Coat, Bag"
2564.0,2564.png,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1]","9, 1, 5, 6","Ankle boot, Trouser, Sandal, Shirt"
2565.0,2565.png,"[0, 1, 0, 0, 1, 1, 0, 1, 0, 0]","1, 5, 4, 7","Trouser, Sandal, Coat, Sneaker"
2566.0,2566.png,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]","9, 0, 8, 9","Ankle boot, T-shirt/top, Bag, Ankle boot"
2567.0,2567.png,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 1]","9, 2, 7, 3","Ankle boot, Pullover, Sneaker, Dress"
2568.0,2568.png,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]","7, 5, 5, 3","Sneaker, Sandal, Sandal, Dress"
2569.0,2569.png,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","6, 7, 8, 6","Shirt, Sneaker, Bag, Shirt"
2570.0,2570.png,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]","0, 6, 0, 3","T-shirt/top, Shirt, T-shirt/top, Dress"
2571.0,2571.png,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]","0, 7, 7, 1","T-shirt/top, Sneaker, Sneaker, Trouser"
